Id,SalePrice
1461,114679.0116311287
1462,146743.18620445387
1463,168858.0942792605
1464,194800.07068562775
1465,200439.25657773388
1466,169550.12627291522
1467,182852.81422313265
1468,162054.70597017556
1469,184986.49797383096
1470,122355.35176170322
1471,170916.9429705044
1472,103241.0762330167
1473,96720.26827391345
1474,143594.20497001318
1475,114536.50885341813
1476,352375.8761081494
1477,249213.3946597474
1478,303997.16238980053
1479,306076.55514653435
1480,484179.46633413614
1481,334580.0500544914
1482,220489.47188151107
1483,168867.94948599266
1484,170587.4683487163
1485,200527.72906098922
1486,190563.18462292812
1487,350215.40552037966
1488,237245.0486718579
1489,187232.71694331247
1490,235190.84979071058
1491,194970.48261888875
1492,93411.79382778802
1493,201829.46972856118
1494,300404.86601822905
1495,281955.182972091
1496,234158.3352402816
1497,176440.39363879646
1498,185086.48755242873
1499,167218.21826501354
1500,162532.94211949178
1501,170273.60972026922
1502,158198.7390320626
1503,281609.2697110206
1504,253638.91170214379
1505,228776.29519185502
1506,190173.29646878093
1507,238155.70169755627
1508,193632.12671223056
1509,155829.48000875814
1510,145327.3530772687
1511,158877.6347602523
1512,169552.35073860807
1513,145643.53788955286
1514,145253.07042407084
1515,178084.42807952184
1516,151591.1249049801
1517,162818.05457091366
1518,128601.68102841012
1519,202332.3205478861
1520,126645.0080671068
1521,124643.38273488518
1522,170678.18662135178
1523,109623.14170332986
1524,119412.26040995069
1525,115398.96401924086
1526,107130.72857850434
1527,109732.64157152643
1528,134130.26720060775
1529,153642.17911320354
1530,210905.83899566755
1531,120163.70280904091
1532,103218.9181742756
1533,147457.81827535402
1534,124309.8580508436
1535,134156.8963935358
1536,109231.73329737112
1537,59027.68567862949
1538,147490.88248763946
1539,182434.6134011307
1540,83666.12255545933
1541,134355.97576935278
1542,132502.91280444345
1543,173971.46803041836
1544,92039.57402897219
1545,115721.168064874
1546,142763.64621589961
1547,129695.23622309651
1548,139510.03310261996
1549,127751.12105235911
1550,134439.86255048512
1551,108473.66592540633
1552,149307.91679396498
1553,136062.70864452265
1554,125608.76500898681
1555,148712.9511995199
1556,87244.23551142424
1557,96773.48095275501
1558,107735.6833627037
1559,69688.78861683547
1560,128158.00259566278
1561,114806.5765015933
1562,136872.5666587538
1563,121589.54042854642
1564,153988.06333565974
1565,143393.77907702874
1566,235370.5579263069
1567,79858.65080106794
1568,244219.6723076257
1569,124534.0415533915
1570,142053.26374738346
1571,109547.20848363808
1572,135083.24423969525
1573,217385.2171930475
1574,112394.40330754929
1575,231841.86215918345
1576,252793.16406638033
1577,185494.0730109211
1578,143835.18506533583
1579,138735.54809695602
1580,199439.64841844368
1581,158849.39909630988
1582,129971.28440017907
1583,277946.4921742733
1584,223597.2471412098
1585,139269.322937435
1586,78076.26791349647
1587,109031.4652292446
1588,152208.3954745979
1589,93812.26873397123
1590,133787.14141911478
1591,91693.7348502385
1592,111705.95093998346
1593,142127.53088512464
1594,129653.41889120199
1595,104124.891021353
1596,214218.07635786233
